RecipeId,Name,CookTime,PrepTime,TotalTime,RecipeIngredientParts,Calories,FatContent,SaturatedFatContent,CholesterolContent,SodiumContent,CarbohydrateContent,FiberContent,SugarContent,ProteinContent,RecipeInstructions,DishID
5037,Roti,0,0,0,"c(""flour"", ""baking powder"", ""salt"")",328,0.6,0.1,0.0,237.4,48.0,1.7,0.2,6.5,"c(""Sift flour, baking powder and salt together; add water  to make a soft dough."", ""Knead well; cover and leave for 1/2  hour."", ""Divide dough into 4 portions, form into balls."", ""Roll out  dough to thin thicknesses on floured board."", ""Apply shortening  or oil to the surface of dough."", ""Fold up each dough and set  aside. Heat large skillet or griddle; wipe with grease. Roll  out dough again on floured board until thin thickness and place  on hot griddle or in skillet, turning frequently from side to  side and rubbing surface of dough with oil or shortening."", 
""Cook  over medium heat until dough has a lightly brown color."", ""Put  into a towel and press to give a leafy effect."")",17
7760,Grilled Salmon,0,0,10,"c(""salmon steaks"", ""olive oil"", ""garlic"", ""parsley"", ""dried dill weed"", ""salt"", ""butter"", ""margarine"")",365,47.5,12.8,130.3,708.3,14.0,1.0,1.2,43.6,"c(""Place salmon on well-greased broiler pan."", ""Combine and blend oil, garlic, parsley, dill weed and salt in blender."", ""Stir in bread crumbs and set aside."", ""Brush steaks with butter."", ""Broil about 4 inches from heat 8 minutes or until fish flakes easily when tested with fork."", ""Spread about 2 tablespoons garlic mixture on each salmon steak."", ""Return to broiler and broil 1 or 2 minutes or until lightly browned."")",3
8988,Butter Chicken,20,15,35,"c(""chicken"", ""tandoori masala"", ""garam masala"", ""lime juice"", ""cumin powder"", ""yoghurt"", ""salt"", ""tomatoes"", ""onions"", ""cashew nuts paste"", ""butter"", ""chili powder"")",308,21.7,7.6,99.4,108.0,5.2,0.9,2.5,22.5,"c(""Marinate the chicken in the marinade for 1 whole hour."", ""Heat oil in a non stick pan and fry the chicken for 10 minutes."", ""Remove the chicken and keep aside."", ""In the remaining oil fry the chopped onions till golden, then add the ginger-garlic paste and fry sprinkling little water now and then till oil separates."", ""Add the cashew paste, chilli pd, tomato paste and cook for 10 minutes."", ""Add the butter and the cream and the chicken."", ""Mix well and cook till done."", ""Garnish with cilantro.""
)",1
16332,Naan,10,45,55,"c(""dried yeast"", ""water"", ""sugar"", ""yogurt"", ""egg"", ""ghee"", ""butter"", ""salt"", ""flour"", ""butter"", ""poppy seeds"", ""cumin"")",317,12.3,7.2,55.6,335.8,44.1,1.7,2.1,7.2,"c(""In a small warm bowl (not hot) pour in the 1/4 cup water and sprinkle on the yeast."", ""Add 1 tsp sugar and stir, leave in a warm place for 10 minutes or until it starts to froth (if it does not froth your yeast is not working and start over check expiry date of the yeast)"", ""Stir yogurt until smooth and mix in the remaining 2 tbsp sugar, 1/2 cup water,egg, melted ghee and salt."", ""Stir in the yeast mixture."", ""In another bowl put in 2 cups flour, make a well in the center and pour in liquid (Use mixer with dough hook) mix until you have a smooth dough."", 
""Slowly add remaining flour until you have a stiff dough, use dough hook and knead for 7-8 minutes or knead by hand for 10-12 minutes until the dough is elastic& smooth."", ""Form dough into a ball and place in a greased warm bowl, turn the dough over so the top is greased too, cover with a damp tea towel and keep in a warm place (I usually put it in the oven with my oven light on)."", ""When it has doubled in size punch down, divide into 8 balls and let it rest for 10 minutes."", ""Pat dough into circles making them thinner in the centre and thicker around the rim."", 
""Pull one end outwards making a teardrop shape or pull both ends outward making an oblong shape."", ""They should be about 8\"" long and about 3-4\"" wide."", ""Brush with melted ghee (butter)"", ""Bake in 450f oven for about 10 minutes or until golden and puffed."")",13
24951,Margherita Pizza,20,25,45,"c(""cornmeal"", ""olive oil"", ""garlic"", ""mozzarella cheese"", ""fresh parmesan cheese"", ""Italian plum tomatoes"", ""fresh basil"")",339,2.7,1.4,7.7,72.9,1.2,0.3,0.6,2.5,"c(""Place oven rack in lowest position."", ""heat oven to 425°F."", ""Spray 15x10x1 inch baking pan with nonstick cooking spray and sprinkle with cornmeal."", ""Unroll dough; place in the cornmeal coated pan."", ""Starting at center press dough out with hands to edge of pan."", ""Brush dough with oil; sprinkle evenly with garlic."", ""Place crust in oven on lowest rack; Bake at 425°F for 6 to 8 minutes or until set and dry."", ""Remove crust from oven."", ""Sprinkle with mozzarella and parmesan cheeses over the partially baked crust."", 
""Arrange tomato slices over cheese."", ""Sprinkle with half of the basil."", ""Return pizza to oven on lowest rack; bake an additional 12 to 17 minutes or until crust is deep golden brown."", ""Sprinkle remaining half of basil over pizza."", ""Cut into 20 squares."", ""Serve warm."")",2
25080,Chocolate Cake,40,5,45,"c(""eggs"", ""sugar"", ""flour"", ""salt"", ""baking soda"", ""margarine"", ""buttermilk"", ""boiling water"", ""coffee"", ""vanilla"")",378,7.6,1.7,37.9,426.5,47.9,1.1,27.6,4.8,"c(""Measure all ingredients into mixing bowl."", ""Blend with electric mixer, beginning on low setting, and increasing speed until batter is of smooth consistency."", ""Pour into greased and floured cake pan (s) (1 9x13 or 3 small layer)."", ""Bake at 350 degrees until toothpick tests clean."", ""Frost with your favorite frosting when cool."")",9
39775,Spaghetti,10,15,25,"c(""olive oil"", ""onion"", ""garlic"", ""bell pepper"", ""salt"", ""tomato paste"", ""water"", ""basil"", ""oregano"", ""sugar"", ""stewed tomatoes"", ""spaghetti"")",343,15.8,2.2,0.0,932.1,65.8,5.1,10.7,11.5,"c(""Brown the onion, bell pepper, garlic& meat in olive oil in pressure cooker."", ""If a lot of grease, drain."", ""Mix the rest of the ingredients."", ""Cook for 5 minutes in pressure cooker."", ""Cool at once."", ""Boil spaghetti with 1 T."", ""olive oil& salt."", ""Serve meat over spaghetti."")",6
50175,Risotto alla Milanese,30,15,45,"c(""garlic"", ""fresh parsley"", ""lemon, zest of"", ""saffron strand"", ""butter"", ""onion"", ""arborio rice"", ""dry white wine"", ""parmesan cheese"")",372,6.2,3.8,15.3,47.4,65.0,2.8,2.0,5.5,"c(""Mix together the garlic, parsley, and lemon zest in a bowl."", ""Set aside."", ""Put the saffron in a small bowl with 1 tbsp boiling water and let stand while saffron is infused."", ""Melt the butter in a heavy frying pan, and gently cook the onion until soft and golden, about 5 minutes."", ""Stir in the rice and cook for about 2 minutes, until it becomes translucent."", ""Add the wine and saffron mixture and cook for several minutes until all the wine is absorbed."", ""Added 2 1/2 cups of the stock to the pan, and simmer gently until the stock is absorbed."", 
""Stir frequently."", ""Gradually add more stock, a ladle at a time, until the rice is tender."", ""(The rice may be tender and creamy before you've added all the stock, so add it slowly toward the end of the cooking time.) Season the risotto with the salt and pepper and transfer to a serving dish."", ""Sprinkly lavishly with shavings of Parmesan cheese and the garlic and parsley mixture."")",37
65107,Polenta,35,5,40,"c(""hot water"", ""salt"", ""polenta"")",365,1.6,0.2,0.0,23.1,35.2,3.3,0.3,3.7,"c(""Gradually add the polenta to the lightly salted, hot water by allowing it to fall from your hand from above the pot like sand through your fingers."", ""If the water is not boiling, you will be able to stir in all the polenta without lumps forming."", ""As the temperature rises, the flour will integrate with the water and thicken."", ""Stir all the time, and if you have used too much of the flour and the mixture is too thick, add a little water."", ""I taste for salt and perhaps add a little parmesan cheese."", 
""When the polenta is smooth and does not taste of raw maize, it is ready."", ""You can use this sloppy polenta with anything that has been braising for a while."", ""Alternatively, pour the polenta into a flat baking dish where it will cool and become firm."", ""At that point, it can be grilled or oven baked for 20 minutes."", ""As a grilled slice, polenta can be used as a base for eggplant slices, goats cheese, rocket, prosciutto and so on."", ""For me, grilled polenta is good with either baked or fried fish and lumps of parmesan cheese."", 
""Baked polenta can be dressed with cheese, roasted capsicum and fine pancetta."", ""After you have poured the polenta into a tray, some will remain stuck to the sides of the pot."", ""Let it dry even for a day, and peel these skins off."", ""They are delicious with parmesan cheese."")",35
112304,Paneer Butter Masala,30,10,40,"c(""panir"", ""bay leaf"", ""cinnamon stick"", ""cloves"", ""cardamom"", ""chili powder"", ""turmeric"", ""salt"", ""garam masala"", ""tomato puree"", ""butter"", ""kasuri methi"", ""onion"", ""garlic cloves"", ""fresh ginger"", ""sugar"")",373,6.0,3.7,16.7,54.8,5.0,0.8,2.3,0.8,"c(""Grind the chopped onions, garlic & ginger into a coarse paste. Keep it aside."", ""Heat 1/2 tbsp butter in a heavy bottom pan."", ""Add cinnamon, cloves, bay leaf and cardamom."", ""Fry 4 seconds."", ""Now add  the paste (onion, ginger, garlic coarse paste with less or no water)."", ""Fry it till golden brown."", ""Add all the dry powders, sugar, tomato puree; fry for 2 minutes."", ""Now add 2 cups water,reduce heat to low let the gravy simmer for 8 minutes."", ""Now mix in cream, rest of the butter, kasuri methi & paneer."", 
""Also the salt as per taste."", ""Cook till paneer is soft."", ""Serve hot garnished with chopped coriander."", ""One can substitute milk for cream if diet conscious."")",31
